category,categories_all,media_tags,name,gen_pop_reach,all_reach,dem_reach,rep_reach
Food / Drink / Chefs,Food / Drink / Chefs,,Ina Garten,0.0021698021722265,0.0045035961551388,0.00487123797704,0.0042353479853479
News Media,News Media,journalist,Ina Jaffe,0.0001818269976726,0.0021509712979767,0.0032888613093391,0.0007249694749694
Music||Singers/Songwriters,Music||Singers/Songwriters,,Ingrid Michaelson,0.0025698215671062,0.0033945015796195,0.004312752094322,0.0020985958485958
Social Media / Video,Social Media / Video,,Ingrid Nilsen,0.0042305081458494,0.0039994622571755,0.004778156996587,0.0026709401709401
Politics / Government,Politics / Government,politician,Insurrection Barbie,0.0006666989914662,0.0011427035020501,0.0002792429413589,0.0017933455433455
News Media,News Media,journalist,Ira Glass,0.0026061869666408,0.0114606439470323,0.0169717654359292,0.0056471306471306
News Media,News Media,journalist,Irin Carmon,0.0009818657874321,0.010049069032735,0.0130003102699348,0.0027472527472527
Sports||Pro Wrestling,Sports||Pro Wrestling,,Iron Sheik,0.0038789759503491,0.0048732943469785,0.0046540490226497,0.0066391941391941
Politics / Government,Politics / Government,politician,Isaac G. Bryan,0.0003272885958107,0.0020165355918531,0.0029165373875271,0.0004960317460317
Politics / Government,Politics / Government,politician,Isaac Herzog,0.000145461598138,0.0011090945755192,0.0008377288240769,0.0011828449328449
Sports||Basketball,Sports||Basketball,,Isaiah Thomas,0.0026061869666408,0.0034953283592122,0.004033509152963,0.0028998778998779
Authors||Biographies And Memoirs,Authors||Biographies And Memoirs,,Isaiah Washington,0.0008727695888285,0.0011427035020501,0.0007136208501396,0.0021749084249084
News Media,News Media,journalist,Ishaan Tharoor,0.0003272885958107,0.0057807353633124,0.0080049643189574,0.0022893772893772
Film / Tv,Film / Tv,,Issa Rae,0.0100853374709076,0.0214761040532365,0.0294756438101148,0.0072115384615384
Shopping,Shopping,,Itsjudytime,0.0034668347556245,0.0026214962694091,0.0028544834005584,0.0016788766788766
